    lat     lon            mean              annu_cos              annu_sin          semiannu_cos         semiannu_sin
   0.000  107.000    1.4474044590e-04    -9.0403546803e-07     1.0600718444e-07     1.3578235852e-07     6.7905747109e-07 
   0.000  107.500    1.4468615206e-04    -9.0956767400e-07     8.2581060646e-08     1.6724858770e-07     6.8057591217e-07 
   0.000  108.000    1.4466876403e-04    -9.3649739172e-07     4.7738704799e-08     1.6926749933e-07     5.9040170889e-07 
   0.000  108.500    1.4466698860e-04    -9.6908447456e-07     3.2670150014e-08     1.4169400705e-07     5.1118364996e-07 
   0.000  109.000    1.4461833487e-04    -6.8148723221e-07     1.0236445634e-07    -5.9087653607e-08     1.7724809400e-07 
   0.000  109.500    1.4369129997e-04    -2.1435109838e-07     2.0451313850e-07    -1.4808176256e-07    -3.3204941761e-07 
   0.000  110.000    1.4356567648e-04    -1.0815614953e-07     3.1115035227e-07    -1.7086548645e-07    -3.8604448431e-07 
   0.000  110.500    1.4355489400e-04    -1.4295039336e-07     3.5918780288e-07    -1.6025471143e-07    -3.4879784312e-07 
   0.000  111.000    1.4295837222e-04    -7.7237329378e-08     4.4340656555e-07    -1.7411629820e-07    -3.4438914035e-07 
   0.000  111.500    1.4325229805e-04    -6.6537653783e-08     5.0457293271e-07    -2.9047151348e-07    -4.3738122364e-07 
   0.000  112.000    1.4311881543e-04     5.4297995271e-08     4.1916022399e-07    -1.5485932073e-07    -3.1793680695e-07 
   0.000  112.500    1.4257191964e-04     6.4222034658e-08     2.5253425862e-07    -2.2724552865e-07    -1.5243727600e-07 
   0.000  113.000    1.4187154736e-04     2.5695032785e-08     3.2037062260e-07    -1.9225813697e-07    -1.4752899196e-07 
   0.000  113.500    1.4197243130e-04    -9.5861040843e-08     3.9030454600e-07    -1.8907365247e-07    -1.0002662044e-07 
   0.000  114.000    1.4229677884e-04    -1.3579394915e-07     4.4814578650e-07    -2.0644227524e-07    -1.4890329410e-07 
   0.000  114.500    1.4249531036e-04    -1.7664081255e-07     3.6546324665e-07    -2.1195747048e-07    -7.3124040987e-08 
   0.000  115.000    1.4268307351e-04    -7.7672253793e-08     4.4435312275e-07    -1.8117306393e-07    -1.2012968015e-07 
   0.000  115.500    1.4343399756e-04    -3.3266500837e-08     4.8088970203e-07    -1.8080914345e-07    -2.3877966154e-07 
   0.000  116.000    1.4342003218e-04    -6.1775219907e-08     4.3843594480e-07    -2.5003119334e-07    -3.3728781483e-07 
   0.000  116.500    1.4373743141e-04    -4.3519368057e-08     3.2290505172e-07    -2.5938051760e-07    -3.2214033683e-07 
   0.000  117.000    1.4410077847e-04    -1.7589224983e-07     2.1117581878e-07    -2.3532165926e-07    -3.6891845817e-07 
   0.000  117.500    1.4451683977e-04    -4.8548623736e-07    -2.2906415271e-07    -2.3735628948e-07     1.6337964531e-07 
   0.000  118.000    1.4436199935e-04    -4.0876482590e-07    -3.0468175666e-07    -2.3563890732e-07     3.8421428089e-07 
   0.000  118.500    1.4443254020e-04    -3.0923244075e-07    -2.8197603362e-07    -2.1000889340e-07     4.3387537036e-07 
   0.000  119.000    1.4435072541e-04    -2.1294590562e-07    -2.7155279852e-07    -1.9835464261e-07     4.2644505537e-07 
   0.000  119.500    1.4392775139e-04    -7.5180071716e-08    -2.5181689843e-07    -1.3346917768e-07     1.4061037676e-07 
   0.000  120.000    1.4292283239e-04    -2.5450547317e-07     4.3998870339e-08    -1.4809800420e-07     6.6459062123e-08 
   0.000  120.500    1.4280526007e-04    -5.1549868641e-07     7.4960733134e-08    -2.4947185656e-07     3.6272377128e-08 
   0.000  121.000    1.4407756066e-04    -1.5137968927e-07    -2.8339045771e-07    -4.8657825033e-07     6.7406150397e-09 
   0.000  121.500    1.4373975217e-04     3.4205789478e-08    -2.9995589038e-07    -5.1324438867e-07    -1.6186810986e-07 
   0.000  122.000    1.4366743893e-04     2.1856672029e-07    -2.3065330365e-07    -5.5457567715e-07    -2.6429789508e-07 
   0.000  122.500    1.4348665685e-04     4.5263303596e-07    -2.1053592153e-07    -5.8930212052e-07    -3.6768047169e-07 
   0.000  123.000    1.4222245486e-04     4.6090823342e-07     5.1932732842e-07    -3.6267943326e-07    -6.0624754108e-07 
   0.000  123.500    1.4252287100e-04     1.5509041603e-07     5.2610967877e-07    -2.7126349089e-07    -3.2855690260e-07 
   0.000  124.000    1.4272712192e-04    -3.3149503252e-08     3.7388216336e-07    -2.6916596347e-07    -3.6444187364e-07 
   0.000  124.500    1.4278539410e-04    -1.3417853918e-07     2.1946738804e-07    -2.6895960174e-07    -4.0130461069e-07 
   0.000  125.000    1.4431692182e-04     5.6078437975e-07    -1.4421807421e-07    -3.4768215676e-07     4.8069449332e-09 
   0.000  125.500    1.4437506285e-04     6.2642868809e-07    -1.0852575327e-07    -3.2774842465e-07     2.1821172202e-08 
   0.000  126.000    1.4439517795e-04     5.8113577792e-07    -9.5717239927e-08    -2.8252852689e-07     2.5083563945e-08 
   0.000  126.500    1.4433569150e-04     4.9428891382e-07    -1.2907665610e-07    -2.2244072425e-07     9.9834014165e-08 
   0.000  127.000    1.4430498538e-04     3.8848029952e-07    -1.2654645726e-07    -2.3883982091e-07    -1.5913863673e-07 
   0.000  127.500    1.4308761067e-04     6.2879978147e-07    -1.1142385209e-07    -2.2242582865e-07    -1.1406336250e-07 
   0.000  128.000    1.4294925347e-04     3.8773247827e-07    -4.7711287233e-08    -2.2432469693e-07    -2.1683438749e-07 
   0.000  128.500    1.4409295608e-04     2.1913471511e-07    -5.6608772953e-08    -2.8419410291e-07    -2.4216467704e-07 
   0.000  129.000    1.4420789949e-04     4.0534884255e-07     4.1795214526e-08    -2.4898922833e-07    -2.5918680567e-07 
   0.000  129.500    1.4396931647e-04     5.1383788431e-07    -4.7468100825e-09    -2.5954600361e-07    -1.6026439449e-07 
   0.000  130.000    1.4401916238e-04     4.8877023758e-07    -7.1685147788e-08    -3.0435449815e-07    -1.7247965083e-07 
   0.000  130.500    1.4450750628e-04     5.5419594171e-07    -5.1944092741e-08    -2.6189536266e-07    -2.6060580775e-07 
   0.000  131.000    1.4441592070e-04     5.6720598276e-07    -1.0226526657e-08    -2.5944549508e-07    -2.2818147637e-07 
   0.000  131.500    1.4402441798e-04     3.3468328069e-07    -7.0440937379e-08    -2.9067285509e-07    -1.2605050453e-07 
   0.000  132.000    1.4397045705e-04     3.1631950847e-07    -1.0148049250e-07    -3.4688289361e-07    -2.0333836077e-07 
   0.000  132.500    1.4406850752e-04     1.8921863351e-07    -5.1518615910e-08    -2.8014551388e-07    -1.7181849049e-07 
   0.000  133.000    1.4428696300e-04     1.0820742425e-07    -1.6047201791e-07    -2.8218626386e-07    -1.4624220135e-07 
   0.000  133.500    1.4422010467e-04     2.2847699871e-07    -1.4509160677e-07    -2.5887861519e-07    -1.6127566944e-07 
   0.000  134.000    1.4428822129e-04     2.4442953048e-07    -1.4335301689e-07    -2.6099700049e-07    -1.9920165720e-07 
   0.000  134.500    1.4412318246e-04     2.4126691609e-07    -1.1432681392e-07    -2.1143105430e-07    -1.8505865053e-07 
   0.000  135.000    1.4412570068e-04     2.1749899142e-07    -1.2381715603e-07    -1.8741617715e-07    -1.7921223388e-07 
   0.500   70.000    1.4586347580e-04    -3.7854840744e-07     1.0533374403e-06    -2.5393671774e-08     4.1460184036e-07 
   0.500   70.500    1.4585191428e-04    -3.5802343828e-07     1.0678713577e-06    -2.4976534339e-09     4.0896148757e-07 
   0.500   71.000    1.4582710202e-04    -3.9050207589e-07     1.0884848973e-06    -5.9650169708e-09     3.8459911345e-07 
   0.500   71.500    1.4581064549e-04    -4.1958239748e-07     1.0944857094e-06    -1.5791699381e-08     3.6769903825e-07 
   0.500   72.000    1.4578937920e-04    -4.3648363546e-07     1.0714347159e-06    -2.0980337526e-08     3.5548876594e-07 
   0.500   72.500    1.4578022446e-04    -4.6218356911e-07     1.0501268684e-06    -1.9518701819e-08     3.9266287689e-07 
   0.500   73.000    1.4574857915e-04    -4.9280023541e-07     1.0074255771e-06    -2.2606593591e-08     4.0210406553e-07 
   0.500   73.500    1.4573473922e-04    -5.1446275316e-07     9.8323875608e-07     1.0291229531e-09     3.7209759916e-07 
   0.500   74.000    1.4572955382e-04    -5.4414158373e-07     9.7245056903e-07     3.9720493619e-08     3.4678542071e-07 
   0.500   74.500    1.4571272484e-04    -5.7162646569e-07     9.5093131392e-07     7.0770747728e-08     3.1481476887e-07 
   0.500   75.000    1.4570706313e-04    -5.9392294848e-07     9.4356316639e-07     1.3619108767e-07     3.3400805977e-07 
   0.500   75.500    1.4568098676e-04    -6.1708323624e-07     9.3754397476e-07     1.7662424468e-07     3.5047370857e-07 
   0.500   76.000    1.4565888705e-04    -6.3422319834e-07     9.3902656121e-07     1.9635273726e-07     3.3667905155e-07 
   0.500   76.500    1.4564309307e-04    -6.5105560251e-07     9.3641427587e-07     2.0529806615e-07     3.1200658778e-07 
   0.500   77.000    1.4563013789e-04    -6.3943334619e-07     9.4370037028e-07     2.1746707124e-07     2.9498231884e-07 
   0.500   77.500    1.4563271186e-04    -6.4823427541e-07     9.4534126551e-07     2.3414199075e-07     2.5989849024e-07 
   0.500   78.000    1.4562206069e-04    -6.6996863473e-07     9.5218406505e-07     2.2943901023e-07     2.2882929382e-07 
   0.500   78.500    1.4560327728e-04    -6.8297210683e-07     9.4588621471e-07     2.4224308287e-07     1.9411710581e-07 
   0.500   79.000    1.4559924578e-04    -6.9798611040e-07     9.2428010885e-07     2.4832855169e-07     1.5765607786e-07 
   0.500   79.500    1.4559556502e-04    -7.0248962485e-07     9.3115838706e-07     2.6149636772e-07     1.2618665174e-07 
   0.500   80.000    1.4557683072e-04    -7.2227627439e-07     9.1759081339e-07     2.8517877165e-07     1.0429408324e-07 
   0.500   80.500    1.4556141457e-04    -7.2545425157e-07     8.9425576313e-07     3.0876433590e-07     6.5489770073e-08 
   0.500   81.000    1.4553917155e-04    -7.0879141273e-07     8.8603928774e-07     3.1954844685e-07     3.6747615313e-08 
   0.500   81.500    1.4551876399e-04    -6.8416593360e-07     8.8644937131e-07     3.2628925322e-07     1.9031891457e-08 
   0.500   82.000    1.4548007603e-04    -6.8110438977e-07     8.9723531909e-07     3.4096136553e-07     4.6013466736e-09 
   0.500   82.500    1.4546537788e-04    -6.7175869661e-07     8.7786390157e-07     3.5298142434e-07     1.9462638527e-09 
   0.500   83.000    1.4545253430e-04    -6.7095371073e-07     8.4031176064e-07     3.8222770040e-07    -1.3903853389e-08 
   0.500   83.500    1.4542849758e-04    -6.6752396981e-07     8.3589855617e-07     4.1329768152e-07    -1.3916557221e-08 
   0.500   84.000    1.4541302968e-04    -6.7476658818e-07     8.1899948648e-07     4.3996920706e-07    -2.3645919867e-08 
   0.500   84.500    1.4538997018e-04    -6.6631606730e-07     8.1751872723e-07     4.5642355323e-07    -2.6567417129e-08 
   0.500   85.000    1.4536968777e-04    -6.5602367564e-07     8.2144985915e-07     4.6920958355e-07    -4.5973659525e-08 
   0.500   85.500    1.4532946015e-04    -6.6097408697e-07     8.1934332692e-07     4.4757669968e-07    -7.4202049238e-08 
   0.500   86.000    1.4529606997e-04    -6.4982806807e-07     8.1410387847e-07     4.3849605952e-07    -1.0067387852e-07 
   0.500   86.500    1.4526011684e-04    -6.1535012509e-07     7.7363655606e-07     4.4334652997e-07    -1.1535070836e-07 
   0.500   87.000    1.4521824351e-04    -6.0376598286e-07     7.3784395929e-07     4.3849356311e-07    -1.2192121561e-07 
   0.500   87.500    1.4518644274e-04    -5.7828281794e-07     7.1552987348e-07     4.5025580230e-07    -1.2161946711e-07 
   0.500   88.000    1.4516535211e-04    -5.3491432026e-07     7.1129946814e-07     4.3243388370e-07    -1.1411480010e-07 
   0.500   88.500    1.4513317243e-04    -5.1240852854e-07     6.9178558945e-07     4.2930493389e-07    -1.2242441582e-07 
   0.500   89.000    1.4510633844e-04    -4.8096160052e-07     6.7155002178e-07     4.2519492709e-07    -1.1988480521e-07 
   0.500   89.500    1.4507023735e-04    -4.3684461214e-07     6.7387259750e-07     4.2761422262e-07    -1.0532678333e-07 
   0.500   90.000    1.4503407772e-04    -3.8705524634e-07     6.5389227206e-07     4.5263260569e-07    -1.0036478535e-07 
   0.500   90.500    1.4498899603e-04    -3.5425318066e-07     6.5134585351e-07     4.4127242977e-07    -7.3016685012e-08 
   0.500   91.000    1.4493799430e-04    -3.2554347309e-07     6.4840650117e-07     4.0165518326e-07    -6.5539456176e-08 
   0.500   91.500    1.4488868442e-04    -3.0008237615e-07     6.4447178122e-07     3.5884078494e-07    -9.4912549877e-08 
   0.500   92.000    1.4486249812e-04    -2.5746453835e-07     6.2158618613e-07     3.5249787302e-07    -9.6740295728e-08 
   0.500   92.500    1.4482011426e-04    -2.2299524291e-07     6.1187271181e-07     3.3821372538e-07    -7.9680845038e-08 
   0.500   93.000    1.4479165285e-04    -2.0796212784e-07     6.1086255185e-07     3.5293787773e-07    -7.0216645692e-08 
   0.500   93.500    1.4478207447e-04    -1.8095876357e-07     6.1329639155e-07     3.6316887728e-07    -3.8219464277e-08 
   0.500   94.000    1.4473103821e-04    -1.2697310823e-07     6.0521691536e-07     3.5790386535e-07    -6.2412495984e-09 
   0.500   94.500    1.4465141493e-04    -1.2264205933e-07     5.9379805817e-07     3.5408050753e-07     1.7725695000e-08 
   0.500   95.000    1.4458727022e-04    -9.1049068346e-08     5.9670728569e-07     3.4822718800e-07     6.5388513193e-08 
   0.500   95.500    1.4450066819e-04    -5.8967164713e-08     6.0856392824e-07     3.3225277542e-07     8.7620676071e-08 
   0.500   96.000    1.4446211654e-04    -3.9701985090e-08     5.8682002057e-07     3.3122377817e-07     1.2155168791e-07 
   0.500   96.500    1.4444850864e-04    -5.2545905356e-08     5.5103662684e-07     3.3421166345e-07     1.6129530246e-07 
   0.500   97.000    1.4439744413e-04    -6.6705630254e-08     5.0848038633e-07     3.1902056518e-07     1.9355664127e-07 
   0.500   97.500    1.4404022773e-04    -1.5836910639e-07     3.7026754691e-07     1.2717528861e-07     2.7068723305e-07 
   0.500   98.000    1.4409928599e-04    -2.4076803040e-07     4.0740704244e-07     1.2105866540e-07     3.1660022424e-07 
   0.500   98.500    1.4384166612e-04    -2.6321773421e-07     4.4343443708e-07     2.0316238610e-07     3.5683118082e-07 
   0.500   99.000    1.4244244699e-04    -1.7767814353e-08     1.9107936328e-07    -2.3403813763e-07     4.7071830255e-07 
   0.500   99.500    1.4143994681e-04    -7.5653193144e-08     3.4342406070e-07    -2.6753003425e-07     3.4281008208e-07 
   0.500  100.000    1.4083108156e-04     6.0833358111e-08     4.1248974176e-07    -2.1780410941e-07     1.7425636591e-07 
   0.500  100.500    1.4116031785e-04     3.2840918832e-07     6.5373733531e-07    -2.4763409898e-07     1.1974695234e-07 
   0.500  101.000    1.4215114451e-04     7.5478225501e-08     6.5063580189e-07    -3.1235937674e-07     1.2345092702e-07 
   0.500  101.500    1.4301612620e-04    -5.3531178999e-08     7.3708997434e-07    -2.8817973396e-07    -1.7834028277e-07 
   0.500  102.000    1.4345146467e-04    -1.6793346568e-07     7.2070244063e-07    -2.4650463642e-07    -1.0953032876e-07 
   0.500  102.500    1.4395243310e-04    -2.1001760058e-07     6.6970373912e-07    -2.2635999635e-07     5.8379577641e-09 
   0.500  103.000    1.4458200632e-04    -4.5384358354e-07     5.1598114988e-07    -1.9496476486e-07     1.4718918224e-07 
   0.500  103.500    1.4497679604e-04    -7.4122806612e-07     4.7728820038e-07    -1.0860566028e-07     1.8430582444e-07 
   0.500  104.000    1.4464121047e-04    -6.2824498705e-07     3.9869233038e-07    -1.0878655541e-07     3.1964032831e-07 
   0.500  104.500    1.4476628355e-04    -7.4232804355e-07     3.0867030103e-07    -3.4009222303e-08     3.8384237951e-07 
   0.500  105.000    1.4489231031e-04    -8.2011720309e-07     2.8015184374e-07    -3.2693857546e-08     5.3526724650e-07 
   0.500  105.500    1.4494375343e-04    -8.1481959321e-07     2.4015815690e-07    -3.0048820426e-08     6.3844607768e-07 
   0.500  106.000    1.4491824901e-04    -8.4682852795e-07     2.1162666825e-07     4.8350677443e-08     6.9552261148e-07 
   0.500  106.500    1.4481998797e-04    -8.8349098206e-07     2.2115085931e-07     1.1688372408e-07     7.1220145391e-07 
   0.500  107.000    1.4475571473e-04    -8.7725604027e-07     2.2374698968e-07     1.5545040244e-07     7.1933396134e-07 
   0.500  107.500    1.4466986198e-04    -8.4528547247e-07     2.1139877438e-07     1.6569931389e-07     7.0259612389e-07 
   0.500  108.000    1.4465661306e-04    -8.6581876338e-07     1.8775620784e-07     1.3476650001e-07     6.2629426668e-07 
   0.500  108.500    1.4464588013e-04    -8.7974012767e-07     1.8510526682e-07     1.1673024346e-07     5.4810048499e-07 
   0.500  109.000    1.4410314065e-04    -4.5672502745e-07     1.2078216362e-07    -4.2159151776e-08    -9.7730960138e-08 
   0.500  109.500    1.4254629232e-04    -2.0257376356e-07     2.4830132261e-07    -6.7279010474e-08    -1.3891979536e-07 
   0.500  110.000    1.4236176623e-04    -1.6786544458e-07     3.2788438995e-07    -1.0298968150e-07    -1.4244700068e-07 
   0.500  110.500    1.4269763417e-04    -8.1528687610e-08     3.3068841898e-07    -1.0277324825e-07    -1.1151985785e-07 
   0.500  111.000    1.4334850089e-04    -1.5159060316e-08     4.3782509354e-07    -1.5589500608e-07    -3.4840980910e-07 
   0.500  111.500    1.4299417730e-04     6.3248137872e-08     4.2455221305e-07    -1.9438011169e-07    -3.4430258877e-07 
   0.500  112.000    1.4308164039e-04    -7.3940114173e-08     3.7234706982e-07    -1.5262734448e-07    -2.6576496757e-07 
   0.500  112.500    1.4254188103e-04     1.2010753157e-07     2.0772752658e-07    -2.0786697404e-07    -8.3055451090e-08 
   0.500  113.000    1.4229591536e-04     8.9608052821e-08     1.8660553398e-07    -1.9578675800e-07    -4.4064333009e-08 
   0.500  113.500    1.4167306638e-04    -6.9087218339e-08     2.7047359162e-07    -1.6395039740e-07    -4.6001252762e-08 
   0.500  114.000    1.4160395609e-04    -1.5993100222e-07     4.4418318924e-07    -2.1985481247e-07    -7.5618249036e-08 
   0.500  114.500    1.4193255924e-04    -1.9161500406e-07     3.8630005444e-07    -2.0686166468e-07    -3.7573694242e-08 
   0.500  115.000    1.4258477218e-04    -4.3952394704e-08     4.4734800513e-07    -1.5994688740e-07    -6.6777407543e-08 
   0.500  115.500    1.4268718172e-04    -3.1944067180e-08     4.5701615260e-07    -1.5194047332e-07    -7.8340264268e-08 
